epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,190.058,0.40403,0.9375,1,0.15174,0.00054928,0.00054928,0.00054928
2,381.301,0.20837,0.9375,1,0.2,0.000995557,0.000995557,0.000995557
3,570.605,0.19259,0.94792,1,0.17062,0.00133181,0.00133181,0.00133181
4,760.097,0.23869,0.9375,1,0.14768,0.0011719,0.0011719,0.0011719
5,1015.98,0.15498,0.91667,1,0.20468,0.00100687,0.00100687,0.00100687
6,1343.48,0.1483,0.97396,1,0.0761,0.000841835,0.000841835,0.000841835
7,2341,0.15819,0.98958,1,0.04926,0.000676802,0.000676802,0.000676802
8,3147.54,0.07619,0.96875,1,0.0731,0.000511769,0.000511769,0.000511769
9,3475.81,0.10437,0.98438,1,0.04747,0.000346736,0.000346736,0.000346736
10,3805.15,0.07536,0.97917,1,0.04135,0.000181703,0.000181703,0.000181703
